Date,business_investment,software_spending,interest_rate,corporate_earnings,unemployment_rate,consumer_sentiment,gdp_growth,m2_money_supply,industrial_production
2022-08-21,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-22,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-23,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-24,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-25,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-26,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-27,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-28,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-29,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-30,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-08-31,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-09-02,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-09-03,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-09-04,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-09-05,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-09-06,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-09-07,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-09-08,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-09-09,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-09-10,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-09-11,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-09-12,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-09-13,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-09-14,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-09-15,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-09-16,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-09-17,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-09-18,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
2022-09-19,84180.0,13736.0,2.33,3141.557,4.1,70.1,2.8,21221.2,102.5497
