Date,semiconductor_shipments,industrial_production,global_trade_volume,crude_oil_prices,interest_rate,gdp_growth,m2_money_supply,personal_computing_sales,consumer_sentiment
2022-07-22,103.1531,102.2805,11263.243289,97.71,1.58,2.8,21221.2,99.223,70.5
2022-07-25,103.1531,102.2805,11263.243289,99.83,1.58,2.8,21221.2,99.223,70.5
2022-07-26,103.1531,102.2805,11263.243289,97.74,1.58,2.8,21221.2,99.223,70.5
2022-07-27,103.1531,102.2805,11263.243289,100.03,1.58,2.8,21221.2,99.223,70.5
2022-07-28,103.1531,102.2805,11263.243289,99.11,2.33,2.8,21221.2,99.223,70.5
2022-07-29,103.1531,102.2805,11263.243289,101.31,2.32,2.8,21221.2,99.223,70.5
2022-08-02,103.1531,102.2805,11263.243289,97.14,2.33,2.8,21221.2,99.223,70.5
2022-08-03,103.1531,102.2805,11263.243289,93.25,2.33,2.8,21221.2,99.223,70.5
2022-08-04,103.1531,102.2805,11263.243289,91.29,2.33,2.8,21221.2,99.223,70.5
2022-08-05,103.1531,102.2805,11263.243289,91.77,2.33,2.8,21221.2,99.223,70.5
2022-08-08,103.1531,102.2805,11263.243289,93.52,2.33,2.8,21221.2,99.223,70.5
2022-08-09,103.1531,102.2805,11263.243289,93.18,2.33,2.8,21221.2,99.223,70.5
2022-08-10,103.1531,102.2805,11263.243289,94.68,2.33,2.8,21221.2,99.223,70.5
2022-08-11,103.1531,102.2805,11263.243289,97.02,2.33,2.8,21221.2,99.223,70.5
2022-08-12,103.1531,102.2805,11263.243289,94.86,2.33,2.8,21221.2,99.223,70.5
2022-08-15,103.1531,102.2805,11263.243289,92.24,2.33,2.8,21221.2,99.223,70.5
2022-08-16,103.1531,102.2805,11263.243289,89.23,2.33,2.8,21221.2,99.223,70.5
2022-08-17,103.1531,102.2805,11263.243289,90.85,2.33,2.8,21221.2,99.223,70.5
2022-08-18,103.1531,102.2805,11263.243289,93.2,2.33,2.8,21221.2,99.223,70.5
2022-08-19,103.1531,102.2805,11263.243289,93.55,2.33,2.8,21221.2,99.223,70.5
2022-08-22,103.1531,102.2805,11263.243289,93.42,2.33,2.8,21221.2,99.223,70.5
2022-08-23,103.1531,102.2805,11263.243289,96.46,2.33,2.8,21221.2,99.223,70.5
2022-08-24,103.1531,102.2805,11263.243289,95.52,2.33,2.8,21221.2,99.223,70.5
2022-08-25,103.1531,102.2805,11263.243289,93.33,2.33,2.8,21221.2,99.223,70.5
2022-08-26,103.1531,102.2805,11263.243289,93.63,2.33,2.8,21221.2,99.223,70.5
2022-08-29,103.1531,102.2805,11263.243289,97.4,2.33,2.8,21221.2,99.223,70.5
2022-08-30,103.1531,102.2805,11263.243289,92.08,2.33,2.8,21221.2,99.223,70.5
