level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,unemployment_rate_mom,gdp_growth_mom,business_investment_mom,software_spending_mom,corporate_earnings_mom,consumer_sentiment_mom,m2_money_supply_mom,industrial_production_mom,daily_sentiment_score
30,30,2022-04-12,193.94898986816406,-0.0032798156914678536,191.1414701473467,204.78190155029296,205.52891896565754,202.12132992991945,0.02196925525645196,35.38378867194318,0.25,-0.19999999999999973,0.0,-3.6828705074308687,1.1080405781234814,0.0,-5.414012738853502,0.4708385366079204,0.8124046352426806,12.5
31,31,2022-04-13,194.85498046875,0.004660406320424108,195.4523239612184,202.86839752197267,205.04208068847657,200.8001754824341,0.021768268872346733,33.02975597485424,0.25,-0.19999999999999973,0.0,-3.6828705074308687,1.1080405781234814,0.0,-5.414012738853502,0.4708385366079204,0.8124046352426806,9.090909090909092
32,32,2022-04-14,188.57286071777344,-0.032771130773653546,187.46776344598243,200.5875228881836,204.5330073038737,198.5770273434049,0.02300243507040016,31.08817792926739,0.25,-0.19999999999999973,0.0,-3.6828705074308687,1.1080405781234814,0.0,-5.414012738853502,0.4708385366079204,0.8124046352426806,0.0
33,33,2022-04-18,186.18345642089844,-0.012751948753728103,186.4124460595447,198.07467651367188,204.0020314534505,196.32365081204006,0.02267011041082225,24.444042954164246,0.25,-0.19999999999999973,0.0,-3.6828705074308687,1.1080405781234814,0.0,-5.414012738853502,0.4708385366079204,0.8124046352426806,0.0
34,34,2022-04-19,190.54409790039062,0.023151140361647306,192.03747425401693,195.34081115722657,203.8414108276367,195.27282300992195,0.02115799908674013,22.149789888494425,0.25,-0.19999999999999973,0.0,-3.6828705074308687,1.1080405781234814,0.0,-5.414012738853502,0.4708385366079204,0.8124046352426806,-5.0
35,35,2022-04-20,185.4069061279297,-0.027330750500694532,187.9456408690928,192.96037750244142,203.64727223714192,193.47901994046882,0.01962153674561869,22.651946123301826,0.25,-0.19999999999999973,0.0,-3.6828705074308687,1.1080405781234814,0.0,-5.414012738853502,0.4708385366079204,0.8124046352426806,16.666666666666664
36,36,2022-04-21,176.44668579101562,-0.049534135082965926,176.91461001883218,190.61180419921874,202.78675842285156,190.3822319132955,0.020434795238717614,20.19705523612653,0.25,-0.19999999999999973,0.0,-3.6828705074308687,1.1080405781234814,0.0,-5.414012738853502,0.4708385366079204,0.8124046352426806,0.0
37,37,2022-04-22,170.6723175048828,-0.033273321032553385,168.94001031043348,187.75149993896486,201.83365580240886,186.79861111176592,0.02112217081159986,18.405581889275638,0.25,-0.19999999999999973,0.0,-3.6828705074308687,1.1080405781234814,0.0,-5.414012738853502,0.4708385366079204,0.8124046352426806,0.0
38,38,2022-04-25,173.79844665527344,0.018150829046337545,171.8570445422378,185.5014892578125,201.0594263712565,184.43494484694912,0.02365697472285971,13.788048376038603,0.25,-0.19999999999999973,0.0,-3.6828705074308687,1.1080405781234814,0.0,-5.414012738853502,0.4708385366079204,0.8124046352426806,0.0
39,39,2022-04-26,169.32827758789062,-0.02605697354954714,170.2442307833416,182.97570190429687,200.2948201497396,181.68827807257483,0.024009376244649057,14.810279210711542,0.25,-0.19999999999999973,0.0,-3.6828705074308687,1.1080405781234814,0.0,-5.414012738853502,0.4708385366079204,0.8124046352426806,0.0
