level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,unemployment_rate_mom,gdp_growth_mom,vix_mom,cpi_mom,industrial_production_mom,personal_consumption_mom,housing_starts_mom,retail_sales_mom,sp500_mom
39,39,2022-04-26,367.87762451171875,-0.0290099820873476,368.80083244009097,385.04156188964845,392.2272165934245,383.3911650962792,0.015246253881857904,24.361408025581667,0.25,-0.19999999999999973,0.0,-9.59,1.0606779482313256,0.8124046352426806,1.3731245732693242,-3.6739380022962065,2.097546278219653,3.577323877328009
40,40,2022-04-27,368.8296813964844,0.0025846286771770513,373.34957211395636,383.1768737792969,392.00587158203126,380.7436226054074,0.015459049775112777,27.343095050188012,0.25,-0.19999999999999973,0.0,-9.59,1.0606779482313256,0.8124046352426806,1.3731245732693242,-3.6739380022962065,2.097546278219653,3.577323877328009
41,41,2022-04-28,378.0713806152344,0.024748045944445175,374.4939286058986,381.7988006591797,391.8127176920573,380.25776042537586,0.0174874165899907,35.52338725306926,0.25,-0.19999999999999973,0.0,-9.59,1.0606779482313256,0.8124046352426806,1.3731245732693242,-3.6739380022962065,2.097546278219653,3.577323877328009
42,42,2022-04-29,364.184814453125,-0.037421544599917,364.2713663177475,379.5080993652344,391.00013122558596,377.33540661223935,0.020437812439358643,29.58586863950255,0.25,-0.19999999999999973,0.0,-9.59,1.0606779482313256,0.8124046352426806,1.3731245732693242,-3.6739380022962065,2.097546278219653,3.577323877328009
43,43,2022-05-02,366.47357177734375,0.006264938180100035,366.99286323658123,377.4395385742188,390.12070922851564,375.36052755134926,0.02073418289131768,34.58891871487292,0.0,0.10000000000000009,1.3,12.84,0.42113975510602586,0.2232325475391983,0.7046064220500137,8.939213349225273,1.3668249100000418,-8.795671914903934
44,44,2022-05-03,368.0603332519531,0.004320464806339519,368.6566164766811,374.9113006591797,389.2935404459635,374.03321949691355,0.019711533491450377,36.68727158442207,0.0,0.10000000000000009,1.3,12.84,0.42113975510602586,0.2232325475391983,0.7046064220500137,8.939213349225273,1.3668249100000418,-8.795671914903934
45,45,2022-05-04,379.2253723144531,0.02988380446946553,375.2632583489827,373.5293792724609,388.68646647135415,374.9772472819207,0.022858529564644087,42.079878654092575,0.0,0.10000000000000009,1.3,12.84,0.42113975510602586,0.2232325475391983,0.7046064220500137,8.939213349225273,1.3668249100000418,-8.795671914903934
46,46,2022-05-05,365.90618896484375,-0.03575369201090404,363.5212412231287,371.3983123779297,387.8060231526693,373.32796395154304,0.02486732136414283,37.999789109402094,0.0,0.10000000000000009,1.3,12.84,0.42113975510602586,0.2232325475391983,0.7046064220500137,8.939213349225273,1.3668249100000418,-8.795671914903934
47,47,2022-05-06,363.6077880859375,-0.006301204791337289,358.08778288330063,370.0942810058594,386.6545827229818,371.56065924870563,0.023654042425440017,36.988611418524805,0.0,0.10000000000000009,1.3,12.84,0.42113975510602586,0.2232325475391983,0.7046064220500137,8.939213349225273,1.3668249100000418,-8.795671914903934
48,48,2022-05-09,351.8753967285156,-0.03279865508885224,357.6454413717605,367.4112152099609,385.04474589029945,367.9815206086711,0.02509063617634648,28.414098245964084,0.0,0.10000000000000009,1.3,12.84,0.42113975510602586,0.2232325475391983,0.7046064220500137,8.939213349225273,1.3668249100000418,-8.795671914903934
49,49,2022-05-10,352.7793884277344,0.002565773238728514,351.94274694176005,365.9013916015625,383.373041788737,365.2174965757735,0.024025955870509073,29.171244727337026,0.0,0.10000000000000009,1.3,12.84,0.42113975510602586,0.2232325475391983,0.7046064220500137,8.939213349225273,1.3668249100000418,-8.795671914903934
50,50,2022-05-11,347.0959167480469,-0.01624174071004929,344.12439711901845,363.72801513671874,381.3419932047526,361.9226638798232,0.024173209742656396,29.21484635988709,0.0,0.10000000000000009,1.3,12.84,0.42113975510602586,0.2232325475391983,0.7046064220500137,8.939213349225273,1.3668249100000418,-8.795671914903934
51,51,2022-05-12,346.8266906738281,-0.0007759542198157685,350.75030222237666,360.6035461425781,379.3865976969401,359.17794147873315,0.0217869775927794,32.704992251486516,0.0,0.10000000000000009,1.3,12.84,0.42113975510602586,0.2232325475391983,0.7046064220500137,8.939213349225273,1.3668249100000418,-8.795671914903934
52,52,2022-05-13,355.010498046875,0.023322156328992653,353.616036423515,359.6861145019531,377.911713663737,358.42022449112255,0.02132954789461539,37.16936733877765,0.0,0.10000000000000009,1.3,12.84,0.42113975510602586,0.2232325475391983,0.7046064220500137,8.939213349225273,1.3668249100000418,-8.795671914903934
53,53,2022-05-16,353.7410583496094,-0.0035821891134380337,359.337988174136,358.41286315917966,376.35765380859374,357.56946701084746,0.021103407886872847,41.46144547532756,0.0,0.10000000000000009,1.3,12.84,0.42113975510602586,0.2232325475391983,0.7046064220500137,8.939213349225273,1.3668249100000418,-8.795671914903934
54,54,2022-05-17,360.8189697265625,0.019811191766047516,356.760759156335,357.6887268066406,374.9263671875,358.160285686432,0.02227993445676138,45.494874700210374,0.0,0.10000000000000009,1.3,12.84,0.42113975510602586,0.2232325475391983,0.7046064220500137,8.939213349225273,1.3668249100000418,-8.795671914903934
55,55,2022-05-18,346.528564453125,-0.04041111132744842,343.48002649859836,354.41904602050784,373.185102335612,356.04542728037615,0.02219629292806584,33.21393341213208,0.0,0.10000000000000009,1.3,12.84,0.42113975510602586,0.2232325475391983,0.7046064220500137,8.939213349225273,1.3668249100000418,-8.795671914903934
56,56,2022-05-19,344.21087646484375,-0.006710769789472578,347.5575645498707,352.2495147705078,371.5012166341146,353.89369076846117,0.02011127675331409,37.877902238817036,0.0,0.10000000000000009,1.3,12.84,0.42113975510602586,0.2232325475391983,0.7046064220500137,8.939213349225273,1.3668249100000418,-8.795671914903934
57,57,2022-05-20,344.2974853515625,0.0002515841258546792,347.2498222392037,350.3184844970703,369.7538614908854,352.14892614720685,0.020210942732705173,36.17180720690548,0.0,0.10000000000000009,1.3,12.84,0.42113975510602586,0.2232325475391983,0.7046064220500137,8.939213349225273,1.3668249100000418,-8.795671914903934
58,58,2022-05-23,350.8272399902344,0.018787841875995675,347.0190250080686,350.2136688232422,368.2562204996745,351.9086195732118,0.019004287529056394,39.878047731238965,0.0,0.10000000000000009,1.3,12.84,0.42113975510602586,0.2232325475391983,0.7046064220500137,8.939213349225273,1.3668249100000418,-8.795671914903934
59,59,2022-05-24,348.29803466796875,-0.0072353738241960315,346.7208498758011,349.7655334472656,366.9028289794922,351.2521495904403,0.019092697564915218,29.783803775265085,0.0,0.10000000000000009,1.3,12.84,0.42113975510602586,0.2232325475391983,0.7046064220500137,8.939213349225273,1.3668249100000418,-8.795671914903934
60,60,2022-05-25,351.2022399902344,0.008303705130388753,352.4043374088919,350.17616577148436,365.6936848958333,351.2430751176756,0.018524605188138022,38.87354256775949,0.0,0.10000000000000009,1.3,12.84,0.42113975510602586,0.2232325475391983,0.7046064220500137,8.939213349225273,1.3668249100000418,-8.795671914903934
61,61,2022-05-26,358.1839599609375,0.01968446921717142,360.5689359718553,351.3118927001953,364.5714131673177,352.50505418008686,0.019394543814065364,46.16743823366792,0.0,0.10000000000000009,1.3,12.84,0.42113975510602586,0.2232325475391983,0.7046064220500137,8.939213349225273,1.3668249100000418,-8.795671914903934
62,62,2022-05-27,367.1659851074219,0.024767312243792576,365.656164426782,352.52744140625,363.90721842447914,355.17067798505684,0.01956558736562314,61.241515722892274,0.0,0.10000000000000009,1.3,12.84,0.42113975510602586,0.2232325475391983,0.7046064220500137,8.939213349225273,1.3668249100000418,-8.795671914903934
