level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,unemployment_rate_mom,gdp_growth_mom,pharmaceutical_prices_mom,consumer_sentiment_mom,m2_money_supply_mom,daily_sentiment_score
62,62,2022-05-27,692.7999877929688,0.0136024672127812,692.7999877929688,673.5110046386719,666.82900390625,674.6646442243281,0.013431717067833072,85.02370678859299,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,63,2022-05-31,664.739990234375,-0.04134536755863425,669.510009765625,674.4840026855469,664.8803365071615,672.8601616807002,0.019994557411203852,67.05598335381816,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,14.285714285714285
64,64,2022-06-01,658.9199829101562,-0.008793866927104588,655.02001953125,673.6200012207031,662.9703369140625,670.3255837224194,0.01920634188984656,65.35860463937625,,,,,,,0.0
65,65,2022-06-02,630.7000122070312,-0.04377177211829744,628.6799926757812,670.7700012207031,660.006337483724,663.1209343559851,0.023330330895894338,48.959393513373655,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,-25.0
66,66,2022-06-03,630.3499755859375,-0.0005551510780254474,625.47998046875,668.0899963378906,657.4810038248698,657.1625782159765,0.023360259177612006,44.784414812626224,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,10.0
67,67,2022-06-06,609.030029296875,-0.03440760626180493,605.4500122070312,662.8789978027344,654.8460042317708,648.4112056852308,0.024850469230889245,35.38089364598963,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0
68,68,2022-06-07,613.97998046875,0.00809474683131905,617.989990234375,656.0859985351562,652.3010030110677,642.1509829185978,0.02170385373737006,32.09940184182311,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,10.0
69,69,2022-06-08,607.760009765625,-0.010182239252637004,605.1099853515625,648.2599975585938,650.0656697591146,635.8980787089664,0.020925946469435155,32.56505576208178,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0
70,70,2022-06-09,575.47998046875,-0.054575642033419795,570.9600219726562,636.7199951171875,646.7980021158854,624.9129699380179,0.023562464276700397,27.026694786924494,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0
71,71,2022-06-10,571.8099975585938,-0.00639767713170706,554.6599731445312,625.5569946289063,643.3390014648437,615.2578840508498,0.023758876790073578,24.826669042532004,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0
72,72,2022-06-13,549.2999877929688,-0.04016204597237651,555.1199951171875,611.2069946289063,639.6786682128907,603.2655392766895,0.021862374512051787,12.993234588761112,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,
73,73,2022-06-14,548.3499755859375,-0.0017309934422445126,554.030029296875,599.5679931640625,636.2230000813802,593.2808913329164,0.02180002627137464,10.891389186148857,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,
74,74,2022-06-15,561.1900024414062,0.023145808777138854,549.6900024414062,589.7949951171875,632.9130004882812,587.4461842617327,0.02552366331459041,14.756222526456384,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0
75,75,2022-06-16,556.75,-0.007943227323105971,565.6099853515625,582.3999938964844,629.4426676432291,581.8650598505085,0.023646179416309133,15.0008144094149,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,-50.0
76,76,2022-06-17,580.9500122070312,0.04254840950358283,583.4400024414062,577.4599975585937,627.4953348795573,581.6986875516944,0.029309966444192644,21.442066923943372,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0
77,77,2022-06-21,587.6699829101562,0.011500821141677726,580.719970703125,575.3239929199219,626.3160013834636,582.7843776168693,0.028320812876329236,27.915628805079535,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,
78,78,2022-06-22,586.8400268554688,-0.0014132807484488435,589.97998046875,572.6099975585937,625.8850016276042,583.5217683875237,0.028043927766280303,28.73746077723196,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,
79,79,2022-06-23,607.3900146484375,0.03441885694344392,612.0599975585938,572.572998046875,625.6283345540364,587.8614495258716,0.030484047931817488,42.79799398134057,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,
80,80,2022-06-24,612.489990234375,0.008361486833120046,608.760009765625,576.2739990234375,625.60966796875,592.3393660183267,0.023726369560644733,44.63921144463449,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0
81,81,2022-06-27,602.4000244140625,-0.01661088279717737,600.6699829101562,579.3330017089844,624.5576680501302,594.1685766357332,0.024536457615479054,47.86610520294257,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0
82,82,2022-06-28,594.4199829101562,-0.013335605551133901,597.5599975585938,583.8450012207031,622.8543334960938,594.2142868674465,0.02008761554102761,43.82497648268891,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,
83,83,2022-06-29,597.6199951171875,0.005368980827763602,594.9299926757812,588.7720031738281,620.9413330078125,594.8335065492175,0.01983348169182461,46.73660671842502,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0
84,84,2022-06-30,591.1300048828125,-0.010919124654029602,587.760009765625,591.7660034179687,618.3936665852865,594.1601426098712,0.01998321102671976,56.03921853110453,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,25.0
85,85,2022-07-01,595.4000244140625,0.007197521949871547,593.9199829101562,595.631005859375,616.2670003255208,594.3855756651786,0.019443225920932634,59.06123913058769,,,,,,,0.0
86,86,2022-07-05,596.5599975585938,0.0019463295569184394,594.7899780273438,597.1920043945313,614.2473327636719,594.780925100345,0.014817178151679336,71.71477352143074,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,-50.0
87,87,2022-07-06,594.9000244140625,-0.0027864539102711297,598.010009765625,597.9150085449219,612.0393330891927,594.8025795210209,0.014555592458572374,71.2499261648402,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0
88,88,2022-07-07,607.4500122070312,0.02087652216348925,605.5800170898438,599.9760070800781,609.5573343912761,597.1021127366591,0.015763616875314523,71.1735928205942,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0
89,89,2022-07-08,621.5700073242188,0.022978659727634812,615.5499877929688,601.3940063476563,607.4090006510417,601.5508208434882,0.013522308864808794,77.25365084790823,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,
90,90,2022-07-11,614.4600219726562,-0.011504678049222892,619.0900268554688,601.5910095214844,604.8616678873698,603.8979483215187,0.013985485571048586,66.45392536472505,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,
91,91,2022-07-12,610.0900268554688,-0.0071373377879692295,597.8499755859375,602.360009765625,602.4166687011718,605.0237807822368,0.012997030417387206,61.26863483033699,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,25.0
92,92,2022-07-13,602.02001953125,-0.013315831495542423,595.989990234375,603.1200134277344,599.3906697591145,604.4776423729664,0.012994562900993085,57.112071553944276,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,33.33333333333333
93,93,2022-07-14,598.8599853515625,-0.005262876325171425,601.2899780273438,603.2440124511719,597.1946695963542,603.4562501872566,0.013056760411472254,45.225549371336896,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,12.5
94,94,2022-07-15,607.5399780273438,0.014390157035893523,605.0,604.885009765625,595.482002766927,604.1987461581815,0.013113235158444819,47.336124401128075,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,
95,95,2022-07-18,586.7000122070312,-0.03490434376383432,594.5800170898438,604.0150085449219,594.0153361002605,601.0171581670633,0.017535460499360063,42.42715788420039,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,50.0
96,96,2022-07-19,595.72998046875,0.015273874763021186,598.010009765625,603.9320068359375,592.8613362630208,600.0558531310063,0.018313346622321914,50.62553663016367,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,
97,97,2022-07-20,594.5900268554688,-0.0019153739410833293,590.8900146484375,603.9010070800781,592.3800028483073,599.0620665354539,0.01830142373560715,48.524124234829635,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,50.0
98,98,2022-07-21,592.4400024414062,-0.0036225313803032694,593.5999755859375,602.4000061035156,591.6620035807292,597.8580548819907,0.016763711712187043,50.66625939260289,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,
99,99,2022-07-22,586.1099853515625,-0.010742145900694718,580.0,598.85400390625,590.9403361002604,595.7220422400947,0.014275554427220494,45.372097831507,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,
100,100,2022-07-25,587.280029296875,0.0019942974092151495,587.5700073242188,596.1360046386719,591.333671061198,594.1871307958728,0.014322124908617851,45.37757847533633,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,-16.666666666666664
101,101,2022-07-26,582.5599975585938,-0.008069577451926957,579.5900268554688,593.3830017089844,591.6920043945313,592.073106570913,0.014344041122103258,44.03517664142613,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,
102,102,2022-07-27,587.9099731445312,0.009141649043214085,588.8900146484375,591.9719970703125,592.97900390625,591.3161732206617,0.014586828514607094,39.84827460242161,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,25.0
103,103,2022-07-28,582.3699951171875,-0.009467853097167009,584.9500122070312,590.322998046875,594.1130045572917,589.6895953836663,0.01473924658559956,27.640871425776396,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,49.99999999999999
104,104,2022-07-29,581.6900024414062,-0.0011683122082262408,581.530029296875,587.7380004882813,594.796337890625,588.235123939619,0.013492409413921026,29.8288640830974,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,50.0
105,105,2022-08-01,576.6799926757812,-0.008650156731081177,578.5,586.7359985351562,595.4606709798177,586.1341909825576,0.008526415443404954,29.59567840949248,,,,,,,0.0
106,106,2022-08-02,574.9600219726562,-0.002986995866879071,600.0,584.6590026855469,595.2610046386719,584.1025238898482,0.006088878502878778,32.08420787202006,0.7399999999999998,0.0,0.0,0.0,0.0,0.0,0.0
107,107,2022-08-03,608.77001953125,0.057140048773531515,602.6500244140625,586.077001953125,595.9643391927083,588.5875230973758,0.02018077234719244,54.6670629518571,0.7399999999999998,0.0,0.0,0.0,0.0,0.0,0.0
108,108,2022-08-04,614.9600219726562,0.010116700621404387,613.469970703125,588.32900390625,596.9016723632812,593.3825228928813,0.020196143734909845,53.57834145330643,0.7399999999999998,0.0,0.0,0.0,0.0,0.0,30.0
109,109,2022-08-05,613.6099853515625,-0.0021977374613424017,619.780029296875,591.07900390625,597.1090047200521,597.0602433399142,0.01969020988529,65.9816916285635,0.7399999999999998,0.0,0.0,0.0,0.0,0.0,
110,110,2022-08-08,630.6300048828125,0.027359804151661386,630.0,595.4140014648438,597.713671875,603.1638363477139,0.020915087305524563,68.93035586825737,0.7399999999999998,0.0,0.0,0.0,0.0,0.0,0.0
111,111,2022-08-09,622.1500244140625,-0.013538066998334694,630.0,599.3730041503907,598.3720052083333,606.6158705415954,0.021421767590081815,63.84645058652456,0.7399999999999998,0.0,0.0,0.0,0.0,0.0,
112,112,2022-08-10,641.489990234375,0.030612319783225747,638.6300048828125,604.731005859375,599.941005452474,612.9566195766462,0.02274286011190797,71.0136143254521,0.7399999999999998,0.0,0.0,0.0,0.0,0.0,0.0
113,113,2022-08-11,623.9000244140625,-0.027803441998195035,628.8699951171875,608.8840087890625,600.8170064290365,614.9463295470855,0.02499945785373593,64.76519798155161,0.7399999999999998,0.0,0.0,0.0,0.0,0.0,
