level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,gdp_growth_mom,unemployment_rate_mom,pharmaceutical_prices_mom,consumer_sentiment_mom,m2_money_supply_mom,daily_sentiment_score
75,75,2022-06-16,182.6556396484375,-0.03073133657566685,183.5214080810547,206.22081756591797,224.34111582438152,202.45989611221674,0.037947232483188945,29.138631038782762,0.49999999999999994,0.0,-0.10000000000000009,7.8444992034222505,-10.429447852760742,-0.12244973116301017,0.0
76,76,2022-06-17,182.188720703125,-0.0025595527899812814,185.21400451660156,201.77723846435546,220.95492909749348,198.77422785601823,0.0363354221129308,20.44600587142193,0.49999999999999994,0.0,-0.10000000000000009,7.8444992034222505,-10.429447852760742,-0.12244973116301017,
77,77,2022-06-21,178.2490234375,-0.021861496111757826,175.65174865722656,197.55933990478516,218.82101186116537,195.04237250719672,0.03627693220197794,23.269962453420902,0.49999999999999994,0.0,-0.10000000000000009,7.8444992034222505,-10.429447852760742,-0.12244973116301017,
78,78,2022-06-22,176.63424682617188,-0.009100388160692382,177.17898559570312,192.5505859375,217.5531778971354,191.6954405651922,0.03234053690300683,23.86430310838243,0.49999999999999994,0.0,-0.10000000000000009,7.8444992034222505,-10.429447852760742,-0.12244973116301017,0.0
79,79,2022-06-23,188.27821350097656,0.06383953545818268,190.37937927246094,188.66148071289064,216.7062260945638,191.07412655351663,0.04241461291513391,22.841341702937328,0.49999999999999994,0.0,-0.10000000000000009,7.8444992034222505,-10.429447852760742,-0.12244973116301017,
80,80,2022-06-24,188.64785766601562,0.001961362250133343,188.85214233398438,185.69066314697267,216.08625183105468,190.63298675578918,0.042185244853049184,27.312878773791127,0.49999999999999994,0.0,-0.10000000000000009,7.8444992034222505,-10.429447852760742,-0.12244973116301017,0.0
81,81,2022-06-27,188.0836639404297,-0.002995205418298354,189.35797119140625,184.63618927001954,215.30577239990234,190.16947351663288,0.031446793166179175,29.283495064029324,0.49999999999999994,0.0,-0.10000000000000009,7.8444992034222505,-10.429447852760742,-0.12244973116301017,
82,82,2022-06-28,182.3249053955078,-0.031096594805393906,181.3229522705078,183.96692810058593,213.80998789469402,188.74318840370105,0.02901137325820197,21.36762953084383,0.49999999999999994,0.0,-0.10000000000000009,7.8444992034222505,-10.429447852760742,-0.12244973116301017,
83,83,2022-06-29,181.35214233398438,-0.0053496110766446895,180.5836639404297,183.6770446777344,212.27594146728515,187.39936184557072,0.028000056621111668,20.65054051734603,0.49999999999999994,0.0,-0.10000000000000009,7.8444992034222505,-10.429447852760742,-0.12244973116301017,0.0
84,84,2022-06-30,179.33851623535156,-0.011165506898511165,178.3560333251953,182.77529296875,210.36738077799478,185.93375355280358,0.026832032025069688,22.621150817665495,0.7500000000000001,0.0,0.0,9.93707541238351,-14.383561643835618,-0.20371855498094726,
85,85,2022-07-01,185.83657836914062,0.0355925045731243,184.8249053955078,183.0933868408203,208.78599294026694,185.9160853375921,0.02791435544797882,38.97737029435316,0.7500000000000001,0.0,0.0,9.93707541238351,-14.383561643835618,-0.20371855498094726,
86,86,2022-07-05,187.7626495361328,0.01031098614512494,187.7626495361328,183.6507797241211,207.2383275349935,186.2518242827813,0.02799138581035901,48.753619533492795,0.7500000000000001,0.0,0.0,9.93707541238351,-14.383561643835618,-0.20371855498094726,
87,87,2022-07-06,190.06809997558594,0.012203766132265498,188.89105224609375,184.8326873779297,205.6786651611328,186.94569259056397,0.02666938835061201,56.07476903572955,0.7500000000000001,0.0,0.0,9.93707541238351,-14.383561643835618,-0.20371855498094726,
88,88,2022-07-07,196.69261169433594,0.03425973453278452,193.36575317382812,186.8385238647461,204.28858744303386,188.71785970034068,0.027380969598842824,58.270606351072885,0.7500000000000001,0.0,0.0,9.93707541238351,-14.383561643835618,-0.20371855498094726,
89,89,2022-07-08,191.67315673828125,-0.02585055060080347,189.79571533203125,187.17801818847656,202.8871607462565,189.2551864345117,0.022274104391193757,59.06868341644385,0.7500000000000001,0.0,0.0,9.93707541238351,-14.383561643835618,-0.20371855498094726,50.0
90,90,2022-07-11,185.1361846923828,-0.03469992506185345,185.00973510742188,186.82685089111328,201.19844462076824,188.5062770268519,0.025082283090383184,52.64166729802832,0.7500000000000001,0.0,0.0,9.93707541238351,-14.383561643835618,-0.20371855498094726,
91,91,2022-07-12,182.86964416503906,-0.012318115688292391,175.3307342529297,186.30544891357422,199.3962397257487,187.48143468834047,0.02530069197782046,54.269277001590595,0.7500000000000001,0.0,0.0,9.93707541238351,-14.383561643835618,-0.20371855498094726,
92,92,2022-07-13,176.24513244628906,-0.036897748064029186,175.66148376464844,185.69747161865234,196.90337320963542,185.43847064433112,0.02607593072724685,49.6709365809974,0.7500000000000001,0.0,0.0,9.93707541238351,-14.383561643835618,-0.20371855498094726,0.0
93,93,2022-07-14,172.40272521972656,-0.022042658341321075,175.7490234375,184.80252990722656,194.8848907470703,183.06833511258483,0.026741052456248898,34.533738942328554,0.7500000000000001,0.0,0.0,9.93707541238351,-14.383561643835618,-0.20371855498094726,33.33333333333333
94,94,2022-07-15,184.05642700195312,0.0654092134410195,185.35992431640625,185.27432098388672,193.39364573160807,183.24798818337908,0.03460593091837186,46.333134617625,0.7500000000000001,0.0,0.0,9.93707541238351,-14.383561643835618,-0.20371855498094726,0.0
95,95,2022-07-18,182.188720703125,-0.010199302305036925,186.08949279785156,184.90953521728517,191.4079132080078,183.05539409606013,0.03273370941195006,45.38812890046679,0.7500000000000001,0.0,0.0,9.93707541238351,-14.383561643835618,-0.20371855498094726,50.0
96,96,2022-07-19,189.33851623535156,0.038493427381203225,190.2918243408203,185.06712188720704,190.16504669189453,184.19777993956762,0.03504157091147285,55.370169763370626,0.7500000000000001,0.0,0.0,9.93707541238351,-14.383561643835618,-0.20371855498094726,33.33333333333333
97,97,2022-07-20,195.19454956054688,0.030460247095034594,195.68093872070312,185.57976684570312,189.3239313761393,186.19719259792748,0.036157453678295357,59.861393319555425,0.7500000000000001,0.0,0.0,9.93707541238351,-14.383561643835618,-0.20371855498094726,
98,98,2022-07-21,201.3618621826172,0.031106847554910794,203.064208984375,186.04669189453125,188.47860056559244,188.95440524968922,0.03586385983982822,64.81287395958415,0.7500000000000001,0.0,0.0,9.93707541238351,-14.383561643835618,-0.20371855498094726,0.0
99,99,2022-07-22,196.19650268554688,-0.025986877090467014,196.1770477294922,186.4990264892578,187.44617513020833,190.27115023802696,0.03587579286399606,57.0952720341268,0.7500000000000001,0.0,0.0,9.93707541238351,-14.383561643835618,-0.20371855498094726,25.0
100,100,2022-07-25,194.0758819580078,-0.010867495020482933,194.20233154296875,187.39299621582032,186.63683675130207,190.96291964165985,0.03387836575132217,54.312294935025406,0.7500000000000001,0.0,0.0,9.93707541238351,-14.383561643835618,-0.20371855498094726,49.99999999999999
101,101,2022-07-26,193.8618621826172,-0.0011033718700280404,193.85214233398438,188.49221801757812,186.4779520670573,191.49000010365208,0.0334345554073639,52.66757020520167,0.7500000000000001,0.0,0.0,9.93707541238351,-14.383561643835618,-0.20371855498094726,50.0
102,102,2022-07-27,201.52723693847656,0.0387786883327016,201.87742614746094,191.0204284667969,186.8949427286784,193.31495225543836,0.031175123171086075,53.350407430827694,0.7500000000000001,0.0,0.0,9.93707541238351,-14.383561643835618,-0.20371855498094726,0.0
103,103,2022-07-28,207.92800903320312,0.031267366211463865,207.5194549560547,194.57295684814454,187.68417714436848,195.97187166957738,0.02891623951987011,61.053041584283335,0.7500000000000001,0.0,0.0,9.93707541238351,-14.383561643835618,-0.20371855498094726,0.0
104,104,2022-07-29,210.77821350097656,0.013614550438686876,209.16342163085938,197.24513549804686,188.43158315022785,198.66393382074085,0.02381619159607157,68.35654924715772,0.7500000000000001,0.0,0.0,9.93707541238351,-14.383561643835618,-0.20371855498094726,50.0
105,105,2022-08-01,209.7373504638672,-0.004950423965148718,208.75486755371094,199.9999984741211,189.3343068440755,200.67728230130928,0.02328641192581728,69.5775444663702,0.7399999999999998,2.4000000000000004,-0.10000000000000009,-7.7160565580668745,3.0000000000000027,-0.036485562801358284,40.0
106,106,2022-08-02,213.17120361328125,0.016239579841807926,218.064208984375,202.38326721191407,190.36705627441407,202.94890435803143,0.021703802730804127,78.21884931310055,0.7399999999999998,2.4000000000000004,-0.10000000000000009,-7.7160565580668745,3.0000000000000027,-0.036485562801358284,
