level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,gdp_growth_mom,unemployment_rate_mom,consumer_spending_mom,retail_sales_mom,import_prices_mom,consumer_sentiment_mom,crude_oil_prices_mom,global_trade_volume_mom,daily_sentiment_score
42,42,2022-04-29,120.63182067871094,-0.018669766182185077,120.37061708952106,124.84280548095703,126.65856501261393,123.04019318414291,0.033331283265933036,46.10700223963308,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,3.125
43,43,2022-05-02,121.96678924560547,0.011005685829248506,120.9413658531994,124.30591049194337,126.4921760559082,122.84502883168155,0.03367262541293672,51.29351262741204,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,12.5
44,44,2022-05-03,118.85183715820312,-0.0258711369009738,118.54227271676729,122.93320083618164,126.25581410725911,122.11899398195818,0.03025197809281932,47.61383767828992,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,-9.375
45,45,2022-05-04,121.94743347167969,0.025712427222212376,120.06105903631071,121.98420486450195,126.0291249593099,122.08780116190754,0.03241405802676773,48.46004093330935,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,8.333333333333332
46,46,2022-05-05,114.75983428955078,-0.06074853155959781,110.02936592784098,120.35610961914062,125.56575190226236,120.75544354875174,0.03642167452856582,34.51661070451705,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,-9.090909090909092
47,47,2022-05-06,110.75489807128906,-0.03552191281356716,109.28449340354115,118.94567337036133,124.9985471089681,118.93716255284943,0.03525923479273387,32.928284599287366,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,-19.444444444444443
48,48,2022-05-09,107.5819091796875,-0.02906713103271692,109.34252704540752,117.32725219726562,124.27333806355794,116.87257103045634,0.0356360668472921,23.116918238725376,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,0.0
49,49,2022-05-10,105.91801452636719,-0.01558715630941207,107.08855108946523,116.26023712158204,123.4568723042806,114.88083348425832,0.031877269861674044,22.860077763425224,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,-4.166666666666666
50,50,2022-05-11,104.39924621582031,-0.014442891714991498,101.74862607299906,114.9716926574707,122.4501564025879,112.97509034454231,0.03142071391944619,22.327163244980014,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,-3.125
51,51,2022-05-12,104.37989044189453,-0.000185418660993587,106.66290417447522,113.11916732788086,121.46214243570964,111.41232672587907,0.024448683449963503,25.604961106397397,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.577135129512122,0.0,-12.5
