level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,unemployment_rate_mom,delinquency_rate_mom,personal_savings_rate_mom,gdp_growth_mom,cpi_mom,revolving_credit_mom,consumer_sentiment_mom,housing_starts_mom,retail_sales_mom,daily_sentiment_score
69,69,2022-06-08,118.96636199951172,-0.024152581828965812,118.68123036572688,119.1288848876953,116.48249333699545,118.48414024990265,0.021232926961862384,66.13772585332113,0.49999999999999994,-0.10000000000000009,0.0,0.09999999999999964,0.0,0.8986577274175289,0.8319381560044858,-10.429447852760742,-15.754923413566734,-0.32751821402312586,
70,70,2022-06-09,113.42530059814453,-0.047696305139634514,110.09877474554104,119.04524612426758,116.34447708129883,117.56435122231026,0.02578623272231927,57.872681652396594,0.49999999999999994,-0.10000000000000009,0.0,0.09999999999999964,0.0,0.8986577274175289,0.8319381560044858,-10.429447852760742,-15.754923413566734,-0.32751821402312586,0.0
71,71,2022-06-10,107.00035095214844,-0.05831236135639859,103.60729003268538,117.92087783813477,115.8337771097819,115.64362390046264,0.02831966671631159,48.74328398270972,0.49999999999999994,-0.10000000000000009,0.0,0.09999999999999964,0.0,0.8986577274175289,0.8319381560044858,-10.429447852760742,-15.754923413566734,-0.32751821402312586,
72,72,2022-06-13,101.70641326904297,-0.05074175265765079,102.7518681725271,116.07227630615235,115.29662246704102,113.10958560384088,0.029316275057959956,36.908723619538065,0.49999999999999994,-0.10000000000000009,0.0,0.09999999999999964,0.0,0.8986577274175289,0.8319381560044858,-10.429447852760742,-15.754923413566734,-0.32751821402312586,-25.0
73,73,2022-06-14,101.29769897460938,-0.004026665688281924,103.32213642678934,114.04974212646485,114.68218434651693,110.96196985307151,0.028097355960602737,38.21565243906153,0.49999999999999994,-0.10000000000000009,0.0,0.09999999999999964,0.0,0.8986577274175289,0.8319381560044858,-10.429447852760742,-15.754923413566734,-0.32751821402312586,
74,74,2022-06-15,102.80889892578125,0.014808218663166528,99.63444087408455,112.453955078125,114.05477498372396,109.4795933208369,0.029870089448171946,35.548080066759525,0.49999999999999994,-0.10000000000000009,0.0,0.09999999999999964,0.0,0.8986577274175289,0.8319381560044858,-10.429447852760742,-15.754923413566734,-0.32751821402312586,
75,75,2022-06-16,97.04924774169922,-0.05765335636013121,99.09269314736007,110.1481918334961,113.05731964111328,107.2195304882664,0.0312091509423655,24.40309362112484,0.49999999999999994,-0.10000000000000009,0.0,0.09999999999999964,0.0,0.8986577274175289,0.8319381560044858,-10.429447852760742,-15.754923413566734,-0.32751821402312586,-14.285714285714285
76,76,2022-06-17,101.94400787353516,0.049205161803648235,105.20401968827925,108.55240631103516,112.34813537597657,106.26034455831527,0.03840257332584776,29.4256187349543,0.49999999999999994,-0.10000000000000009,0.0,0.09999999999999964,0.0,0.8986577274175289,0.8319381560044858,-10.429447852760742,-15.754923413566734,-0.32751821402312586,0.0
77,77,2022-06-21,101.18366241455078,-0.007486414914541433,99.51088277883052,106.72566299438476,111.71728998819987,105.33731144126718,0.037295825768253375,26.769422099592518,0.49999999999999994,-0.10000000000000009,0.0,0.09999999999999964,0.0,0.8986577274175289,0.8319381560044858,-10.429447852760742,-15.754923413566734,-0.32751821402312586,
78,78,2022-06-22,100.39479064941406,-0.007826985279863294,100.10967485504578,104.57767333984376,111.18053512573242,104.43867129729388,0.03523278332410308,28.029083463957704,0.49999999999999994,-0.10000000000000009,0.0,0.09999999999999964,0.0,0.8986577274175289,0.8319381560044858,-10.429447852760742,-15.754923413566734,-0.32751821402312586,
79,79,2022-06-23,99.04518127441406,-0.013534197413756792,100.20470481923205,102.58555526733399,110.66781082153321,103.45803674767936,0.03523325197824076,24.818187540079194,0.49999999999999994,-0.10000000000000009,0.0,0.09999999999999964,0.0,0.8986577274175289,0.8319381560044858,-10.429447852760742,-15.754923413566734,-0.32751821402312586,0.0
80,80,2022-06-24,104.63374328613281,0.054889970630646025,105.73626207764148,101.7063995361328,110.38675308227539,103.67180157285271,0.040301782583723765,35.32378941953202,0.49999999999999994,-0.10000000000000009,0.0,0.09999999999999964,0.0,0.8986577274175289,0.8319381560044858,-10.429447852760742,-15.754923413566734,-0.32751821402312586,0.0
81,81,2022-06-27,104.16803741455078,-0.004460753564930817,106.0499017644398,101.42316818237305,110.26161193847656,103.76202627134327,0.03623473242803694,32.67984401336169,0.49999999999999994,-0.10000000000000009,0.0,0.09999999999999964,0.0,0.8986577274175289,0.8319381560044858,-10.429447852760742,-15.754923413566734,-0.32751821402312586,
82,82,2022-06-28,103.14155578613281,-0.009902966875488617,102.55228253156584,101.56668243408203,110.01006266276042,103.64921345585046,0.03230459158393011,28.075635022780773,0.49999999999999994,-0.10000000000000009,0.0,0.09999999999999964,0.0,0.8986577274175289,0.8319381560044858,-10.429447852760742,-15.754923413566734,-0.32751821402312586,0.0
83,83,2022-06-29,100.37577819824219,-0.02718144758007895,97.8951449255411,101.47449035644532,109.74520696004232,103.05404340901258,0.03354295987054799,28.1696263230387,0.49999999999999994,-0.10000000000000009,0.0,0.09999999999999964,0.0,0.8986577274175289,0.8319381560044858,-10.429447852760742,-15.754923413566734,-0.32751821402312586,-50.0
84,84,2022-06-30,99.02616882324219,-0.013536778392822812,98.58896703492744,101.09621734619141,109.23133672078451,102.32170257523615,0.03326318985265662,31.245355616437266,0.7500000000000001,0.0,0.0,-0.2999999999999998,0.0,1.2482881942895263,1.9012461695304683,-14.383561643835618,0.12987012987013546,0.6947424892703946,
85,85,2022-07-01,101.52581787109375,0.0249289826459373,98.54143956032986,101.54387435913085,108.99150924682617,102.17699626539208,0.028269897829096544,42.05734718464295,0.7500000000000001,0.0,0.0,-0.2999999999999998,0.0,1.2482881942895263,1.9012461695304683,-14.383561643835618,0.12987012987013546,0.6947424892703946,
86,86,2022-07-05,101.37374877929688,-0.0014989595372799423,100.99356717285762,101.48684844970703,108.78019536336264,102.03095126792022,0.023508836091609947,49.432719871626574,0.7500000000000001,0.0,0.0,-0.2999999999999998,0.0,1.2482881942895263,1.9012461695304683,-14.383561643835618,0.12987012987013546,0.6947424892703946,
