Date,vehicle_sales,industrial_production,consumer_spending,retail_sales_vehicles,crude_oil_prices,interest_rate,gdp_growth,unemployment_rate,consumer_sentiment
2023-03-06,16.244,102.2805,19935.205,128281.0,80.39,4.57,2.8,4.1,70.5
2023-03-07,16.244,102.2805,19935.205,128281.0,77.45,4.57,2.8,4.1,70.5
2023-03-08,16.244,102.2805,19935.205,128281.0,76.56,4.57,2.8,4.1,70.5
2023-03-09,16.244,102.2805,19935.205,128281.0,75.6,4.57,2.8,4.1,70.5
2023-03-10,16.244,102.2805,19935.205,128281.0,76.55,4.57,2.8,4.1,70.5
2023-03-13,16.244,102.2805,19935.205,128281.0,74.68,4.58,2.8,4.1,70.5
2023-03-14,16.244,102.2805,19935.205,128281.0,71.18,4.58,2.8,4.1,70.5
2023-03-15,16.244,102.2805,19935.205,128281.0,67.38,4.58,2.8,4.1,70.5
2023-03-16,16.244,102.2805,19935.205,128281.0,68.15,4.58,2.8,4.1,70.5
2023-03-17,16.244,102.2805,19935.205,128281.0,66.61,4.58,2.8,4.1,70.5
2023-03-20,16.244,102.2805,19935.205,128281.0,67.56,4.58,2.8,4.1,70.5
2023-03-21,16.244,102.2805,19935.205,128281.0,69.4,4.58,2.8,4.1,70.5
2023-03-22,16.244,102.2805,19935.205,128281.0,70.71,4.58,2.8,4.1,70.5
2023-03-23,16.244,102.2805,19935.205,128281.0,69.77,4.83,2.8,4.1,70.5
2023-03-24,16.244,102.2805,19935.205,128281.0,69.22,4.83,2.8,4.1,70.5
2023-03-27,16.244,102.2805,19935.205,128281.0,72.87,4.83,2.8,4.1,70.5
2023-03-28,16.244,102.2805,19935.205,128281.0,73.12,4.83,2.8,4.1,70.5
2023-03-29,16.244,102.2805,19935.205,128281.0,72.95,4.83,2.8,4.1,70.5
2023-03-30,16.244,102.2805,19935.205,128281.0,74.32,4.83,2.8,4.1,70.5
2023-03-31,16.244,102.2805,19935.205,128281.0,75.68,4.83,2.8,4.1,70.5
2023-04-03,16.244,102.2805,19935.205,128281.0,80.4,4.83,2.8,4.1,70.5
2023-04-04,16.244,102.2805,19935.205,128281.0,80.7,4.83,2.8,4.1,70.5
2023-04-05,16.244,102.2805,19935.205,128281.0,80.69,4.83,2.8,4.1,70.5
2023-04-06,16.244,102.2805,19935.205,128281.0,80.7,4.83,2.8,4.1,70.5
2023-04-07,16.244,102.2805,19935.205,128281.0,80.7,4.83,2.8,4.1,70.5
2023-04-10,16.244,102.2805,19935.205,128281.0,79.79,4.83,2.8,4.1,70.5
2023-04-11,16.244,102.2805,19935.205,128281.0,81.54,4.83,2.8,4.1,70.5
2023-04-12,16.244,102.2805,19935.205,128281.0,83.26,4.83,2.8,4.1,70.5
2023-04-13,16.244,102.2805,19935.205,128281.0,82.16,4.83,2.8,4.1,70.5
2023-04-14,16.244,102.2805,19935.205,128281.0,82.58,4.83,2.8,4.1,70.5
2023-04-17,16.244,102.2805,19935.205,128281.0,80.93,4.83,2.8,4.1,70.5
2023-04-18,16.244,102.2805,19935.205,128281.0,80.85,4.83,2.8,4.1,70.5
2023-04-19,16.244,102.2805,19935.205,128281.0,79.18,4.83,2.8,4.1,70.5
2023-04-20,16.244,102.2805,19935.205,128281.0,77.27,4.83,2.8,4.1,70.5
2023-04-21,16.244,102.2805,19935.205,128281.0,77.86,4.83,2.8,4.1,70.5
2023-04-24,16.244,102.2805,19935.205,128281.0,78.64,4.83,2.8,4.1,70.5
2023-04-25,16.244,102.2805,19935.205,128281.0,77.05,4.83,2.8,4.1,70.5
2023-04-26,16.244,102.2805,19935.205,128281.0,74.33,4.83,2.8,4.1,70.5
2023-04-27,16.244,102.2805,19935.205,128281.0,74.77,4.83,2.8,4.1,70.5
2023-04-28,16.244,102.2805,19935.205,128281.0,76.78,4.83,2.8,4.1,70.5
2023-05-02,16.244,102.2805,19935.205,128281.0,71.71,4.83,2.8,4.1,70.5
2023-05-03,16.244,102.2805,19935.205,128281.0,68.62,4.83,2.8,4.1,70.5
2023-05-04,16.244,102.2805,19935.205,128281.0,68.52,5.08,2.8,4.1,70.5
2023-05-05,16.244,102.2805,19935.205,128281.0,71.32,5.08,2.8,4.1,70.5
2023-05-08,16.244,102.2805,19935.205,128281.0,73.13,5.08,2.8,4.1,70.5
2023-05-09,16.244,102.2805,19935.205,128281.0,73.68,5.08,2.8,4.1,70.5
2023-05-10,16.244,102.2805,19935.205,128281.0,72.53,5.08,2.8,4.1,70.5
2023-05-11,16.244,102.2805,19935.205,128281.0,70.81,5.08,2.8,4.1,70.5
2023-05-12,16.244,102.2805,19935.205,128281.0,70.02,5.08,2.8,4.1,70.5
2023-05-15,16.244,102.2805,19935.205,128281.0,71.07,5.08,2.8,4.1,70.5
2023-05-16,16.244,102.2805,19935.205,128281.0,70.85,5.08,2.8,4.1,70.5
2023-05-17,16.244,102.2805,19935.205,128281.0,72.78,5.08,2.8,4.1,70.5
2023-05-18,16.244,102.2805,19935.205,128281.0,71.82,5.08,2.8,4.1,70.5
2023-05-19,16.244,102.2805,19935.205,128281.0,71.57,5.08,2.8,4.1,70.5
2023-05-22,16.244,102.2805,19935.205,128281.0,71.81,5.08,2.8,4.1,70.5
2023-05-23,16.244,102.2805,19935.205,128281.0,72.87,5.08,2.8,4.1,70.5
2023-05-24,16.244,102.2805,19935.205,128281.0,74.37,5.08,2.8,4.1,70.5
2023-05-25,16.244,102.2805,19935.205,128281.0,71.68,5.08,2.8,4.1,70.5
2023-05-26,16.244,102.2805,19935.205,128281.0,72.35,5.08,2.8,4.1,70.5
2023-05-29,16.244,102.2805,19935.205,128281.0,72.35,5.08,2.8,4.1,70.5
2023-05-30,16.244,102.2805,19935.205,128281.0,69.45,5.08,2.8,4.1,70.5
2023-05-31,16.244,102.2805,19935.205,128281.0,68.11,5.08,2.8,4.1,70.5
2023-06-02,16.244,102.2805,19935.205,128281.0,71.76,5.08,2.8,4.1,70.5
2023-06-05,16.244,102.2805,19935.205,128281.0,72.14,5.08,2.8,4.1,70.5
2023-06-06,16.244,102.2805,19935.205,128281.0,71.71,5.08,2.8,4.1,70.5
2023-06-07,16.244,102.2805,19935.205,128281.0,72.52,5.08,2.8,4.1,70.5
2023-06-08,16.244,102.2805,19935.205,128281.0,71.28,5.08,2.8,4.1,70.5
2023-06-09,16.244,102.2805,19935.205,128281.0,70.16,5.08,2.8,4.1,70.5
2023-06-12,16.244,102.2805,19935.205,128281.0,67.08,5.08,2.8,4.1,70.5
2023-06-13,16.244,102.2805,19935.205,128281.0,69.39,5.08,2.8,4.1,70.5
2023-06-14,16.244,102.2805,19935.205,128281.0,68.22,5.08,2.8,4.1,70.5
2023-06-15,16.244,102.2805,19935.205,128281.0,70.61,5.07,2.8,4.1,70.5
2023-06-16,16.244,102.2805,19935.205,128281.0,71.81,5.08,2.8,4.1,70.5
2023-06-19,16.244,102.2805,19935.205,128281.0,71.81,5.08,2.8,4.1,70.5
2023-06-20,16.244,102.2805,19935.205,128281.0,70.94,5.07,2.8,4.1,70.5
2023-06-21,16.244,102.2805,19935.205,128281.0,72.55,5.07,2.8,4.1,70.5
2023-06-22,16.244,102.2805,19935.205,128281.0,69.22,5.07,2.8,4.1,70.5
2023-06-23,16.244,102.2805,19935.205,128281.0,68.91,5.07,2.8,4.1,70.5
2023-06-26,16.244,102.2805,19935.205,128281.0,69.09,5.07,2.8,4.1,70.5
2023-06-27,16.244,102.2805,19935.205,128281.0,67.68,5.07,2.8,4.1,70.5
2023-06-28,16.244,102.2805,19935.205,128281.0,69.54,5.07,2.8,4.1,70.5
2023-06-29,16.244,102.2805,19935.205,128281.0,69.85,5.07,2.8,4.1,70.5
2023-06-30,16.244,102.2805,19935.205,128281.0,70.66,5.08,2.8,4.1,70.5
2023-07-03,16.244,102.2805,19935.205,128281.0,69.71,5.08,2.8,4.1,70.5
2023-07-04,16.244,102.2805,19935.205,128281.0,69.71,5.08,2.8,4.1,70.5
2023-07-05,16.244,102.2805,19935.205,128281.0,71.78,5.08,2.8,4.1,70.5
2023-07-06,16.244,102.2805,19935.205,128281.0,71.76,5.08,2.8,4.1,70.5
2023-07-07,16.244,102.2805,19935.205,128281.0,73.91,5.08,2.8,4.1,70.5
2023-07-10,16.244,102.2805,19935.205,128281.0,73.05,5.07,2.8,4.1,70.5
2023-07-11,16.244,102.2805,19935.205,128281.0,74.87,5.08,2.8,4.1,70.5
2023-07-12,16.244,102.2805,19935.205,128281.0,75.77,5.08,2.8,4.1,70.5
2023-07-13,16.244,102.2805,19935.205,128281.0,76.86,5.08,2.8,4.1,70.5
2023-07-14,16.244,102.2805,19935.205,128281.0,75.44,5.08,2.8,4.1,70.5
2023-07-17,16.244,102.2805,19935.205,128281.0,74.17,5.08,2.8,4.1,70.5
2023-07-18,16.244,102.2805,19935.205,128281.0,75.76,5.08,2.8,4.1,70.5
2023-07-19,16.244,102.2805,19935.205,128281.0,75.4,5.08,2.8,4.1,70.5
2023-07-20,16.244,102.2805,19935.205,128281.0,75.65,5.08,2.8,4.1,70.5
2023-07-21,16.244,102.2805,19935.205,128281.0,77.06,5.08,2.8,4.1,70.5
2023-07-24,16.244,102.2805,19935.205,128281.0,78.81,5.08,2.8,4.1,70.5
2023-07-25,16.244,102.2805,19935.205,128281.0,79.76,5.08,2.8,4.1,70.5
2023-07-26,16.244,102.2805,19935.205,128281.0,79.11,5.08,2.8,4.1,70.5
2023-07-27,16.244,102.2805,19935.205,128281.0,80.17,5.33,2.8,4.1,70.5
2023-07-28,16.244,102.2805,19935.205,128281.0,80.55,5.33,2.8,4.1,70.5
2023-07-31,16.244,102.2805,19935.205,128281.0,81.8,5.33,2.8,4.1,70.5
2023-08-02,16.244,102.2805,19935.205,128281.0,79.5,5.33,2.8,4.1,70.5
2023-08-03,16.244,102.2805,19935.205,128281.0,81.56,5.33,2.8,4.1,70.5
2023-08-04,16.244,102.2805,19935.205,128281.0,82.76,5.33,2.8,4.1,70.5
2023-08-07,16.244,102.2805,19935.205,128281.0,81.94,5.33,2.8,4.1,70.5
2023-08-08,16.244,102.2805,19935.205,128281.0,82.94,5.33,2.8,4.1,70.5
2023-08-09,16.244,102.2805,19935.205,128281.0,84.35,5.33,2.8,4.1,70.5
2023-08-10,16.244,102.2805,19935.205,128281.0,82.81,5.33,2.8,4.1,70.5
2023-08-11,16.244,102.2805,19935.205,128281.0,83.17,5.33,2.8,4.1,70.5
2023-08-14,16.244,102.2805,19935.205,128281.0,82.5,5.33,2.8,4.1,70.5
2023-08-15,16.244,102.2805,19935.205,128281.0,81.06,5.33,2.8,4.1,70.5
2023-08-16,16.244,102.2805,19935.205,128281.0,79.4,5.33,2.8,4.1,70.5
2023-08-17,16.244,102.2805,19935.205,128281.0,80.43,5.33,2.8,4.1,70.5
2023-08-18,16.244,102.2805,19935.205,128281.0,81.25,5.33,2.8,4.1,70.5
2023-08-21,16.244,102.2805,19935.205,128281.0,80.71,5.33,2.8,4.1,70.5
2023-08-22,16.244,102.2805,19935.205,128281.0,80.25,5.33,2.8,4.1,70.5
2023-08-23,16.244,102.2805,19935.205,128281.0,78.91,5.33,2.8,4.1,70.5
2023-08-24,16.244,102.2805,19935.205,128281.0,79.52,5.33,2.8,4.1,70.5
2023-08-25,16.244,102.2805,19935.205,128281.0,80.47,5.33,2.8,4.1,70.5
2023-08-28,16.244,102.2805,19935.205,128281.0,80.65,5.33,2.8,4.1,70.5
2023-08-29,16.244,102.2805,19935.205,128281.0,81.14,5.33,2.8,4.1,70.5
2023-08-30,16.244,102.2805,19935.205,128281.0,81.64,5.33,2.8,4.1,70.5
2023-08-31,16.244,102.2805,19935.205,128281.0,83.55,5.33,2.8,4.1,70.5
2023-09-04,16.244,102.2805,19935.205,128281.0,83.55,5.33,2.8,4.1,70.5
2023-09-05,16.244,102.2805,19935.205,128281.0,86.74,5.33,2.8,4.1,70.5
2023-09-06,16.244,102.2805,19935.205,128281.0,87.55,5.33,2.8,4.1,70.5
2023-09-07,16.244,102.2805,19935.205,128281.0,86.87,5.33,2.8,4.1,70.5
2023-09-08,16.244,102.2805,19935.205,128281.0,87.51,5.33,2.8,4.1,70.5
2023-09-11,16.244,102.2805,19935.205,128281.0,87.3,5.33,2.8,4.1,70.5
2023-09-12,16.244,102.2805,19935.205,128281.0,88.87,5.33,2.8,4.1,70.5
2023-09-13,16.244,102.2805,19935.205,128281.0,88.59,5.33,2.8,4.1,70.5
2023-09-14,16.244,102.2805,19935.205,128281.0,90.13,5.33,2.8,4.1,70.5
2023-09-15,16.244,102.2805,19935.205,128281.0,90.83,5.33,2.8,4.1,70.5
2023-09-18,16.244,102.2805,19935.205,128281.0,91.47,5.33,2.8,4.1,70.5
2023-09-19,16.244,102.2805,19935.205,128281.0,91.16,5.33,2.8,4.1,70.5
2023-09-20,16.244,102.2805,19935.205,128281.0,89.2,5.33,2.8,4.1,70.5
2023-09-21,16.244,102.2805,19935.205,128281.0,89.56,5.33,2.8,4.1,70.5
2023-09-22,16.244,102.2805,19935.205,128281.0,90.0,5.33,2.8,4.1,70.5
2023-09-25,16.244,102.2805,19935.205,128281.0,89.68,5.33,2.8,4.1,70.5
2023-09-26,16.244,102.2805,19935.205,128281.0,91.43,5.33,2.8,4.1,70.5
2023-09-27,16.244,102.2805,19935.205,128281.0,93.67,5.33,2.8,4.1,70.5
2023-09-28,16.244,102.2805,19935.205,128281.0,91.65,5.33,2.8,4.1,70.5
2023-09-29,16.244,102.2805,19935.205,128281.0,90.77,5.33,2.8,4.1,70.5
2023-10-02,16.244,102.2805,19935.205,128281.0,88.81,5.33,2.8,4.1,70.5
2023-10-03,16.244,102.2805,19935.205,128281.0,89.26,5.33,2.8,4.1,70.5
2023-10-04,16.244,102.2805,19935.205,128281.0,84.32,5.33,2.8,4.1,70.5
2023-10-05,16.244,102.2805,19935.205,128281.0,82.3,5.33,2.8,4.1,70.5
2023-10-06,16.244,102.2805,19935.205,128281.0,82.83,5.33,2.8,4.1,70.5
2023-10-09,16.244,102.2805,19935.205,128281.0,82.83,5.33,2.8,4.1,70.5
2023-10-10,16.244,102.2805,19935.205,128281.0,85.89,5.33,2.8,4.1,70.5
