Date,pharmaceutical_prices,unemployment_rate,interest_rate,gdp_growth,consumer_sentiment,m2_money_supply
2022-09-23,281.741,4.1,3.08,2.8,70.5,21221.2
2022-09-24,281.741,4.1,3.08,2.8,70.5,21221.2
2022-09-25,281.741,4.1,3.08,2.8,70.5,21221.2
2022-09-26,281.741,4.1,3.08,2.8,70.5,21221.2
2022-09-27,281.741,4.1,3.08,2.8,70.5,21221.2
2022-09-28,281.741,4.1,3.08,2.8,70.5,21221.2
2022-09-29,281.741,4.1,3.08,2.8,70.5,21221.2
2022-09-30,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-02,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-03,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-04,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-05,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-06,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-07,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-08,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-09,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-10,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-11,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-12,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-13,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-14,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-15,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-16,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-17,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-18,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-19,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-20,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-21,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-22,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-23,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-24,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-25,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-26,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-27,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-28,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-29,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-30,281.741,4.1,3.08,2.8,70.5,21221.2
2022-10-31,281.741,4.1,3.08,2.8,70.5,21221.2
2022-11-02,281.741,4.1,3.08,2.8,70.5,21221.2
2022-11-03,281.741,4.1,3.83,2.8,70.5,21221.2
2022-11-04,281.741,4.1,3.83,2.8,70.5,21221.2
