Date,interest_rate,unemployment_rate,cpi,gdp_growth,industrial_production,vehicle_sales,personal_consumption,retail_sales_auto,crude_oil_prices,sp500
2022-09-14,2.33,3.5,296.341,2.7,103.5326,14.136,17987.2,124441.0,88.88,3946.01
2022-09-15,2.33,3.5,296.341,2.7,103.5326,14.136,17987.2,124441.0,85.72,3901.35
2022-09-16,2.33,3.5,296.341,2.7,103.5326,14.136,17987.2,124441.0,85.57,3873.33
2022-09-17,2.33,3.5,296.341,2.7,103.5326,14.136,17987.2,124441.0,85.57,3873.33
2022-09-18,2.33,3.5,296.341,2.7,103.5326,14.136,17987.2,124441.0,85.57,3873.33
2022-09-19,2.33,3.5,296.341,2.7,103.5326,14.136,17987.2,124441.0,86.15,3899.89
2022-09-20,2.33,3.5,296.341,2.7,103.5326,14.136,17987.2,124441.0,84.69,3855.93
2022-09-21,2.33,3.5,296.341,2.7,103.5326,14.136,17987.2,124441.0,83.38,3789.93
2022-09-22,3.08,3.5,296.341,2.7,103.5326,14.136,17987.2,124441.0,84.02,3757.99
2022-09-23,3.08,3.5,296.341,2.7,103.5326,14.136,17987.2,124441.0,79.07,3693.23
2022-09-24,3.08,3.5,296.341,2.7,103.5326,14.136,17987.2,124441.0,79.07,3693.23
