Date,business_investment,software_spending,corporate_earnings,interest_rate,gdp_growth,industrial_production,m2_money_supply,consumer_sentiment
2022-07-20,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-21,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-22,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-23,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-24,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-25,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-26,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-27,85320.0,11779.8,2845.696,1.58,2.7,103.0505,21644.5,51.5
2022-07-28,85320.0,11779.8,2845.696,2.33,2.7,103.0505,21644.5,51.5
2022-07-29,85320.0,11779.8,2845.696,2.32,2.7,103.0505,21644.5,51.5
2022-07-30,85320.0,11779.8,2845.696,2.32,2.7,103.0505,21644.5,51.5
2022-07-31,85320.0,11779.8,2845.696,2.32,2.7,103.0505,21644.5,51.5
2022-08-01,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-02,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-03,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-04,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-05,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-06,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-07,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-08,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-09,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-10,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-11,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-12,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-13,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-14,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-15,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-16,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-17,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-18,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-19,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-20,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-21,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-22,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-23,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-24,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-25,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-26,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-27,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-28,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-29,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-30,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-08-31,84064.0,11923.6,2845.696,2.33,2.7,103.1703,21626.7,58.2
2022-09-01,81233.0,12006.4,2845.696,2.33,2.7,103.5326,21507.7,58.6
2022-09-02,81233.0,12006.4,2845.696,2.33,2.7,103.5326,21507.7,58.6
2022-09-03,81233.0,12006.4,2845.696,2.33,2.7,103.5326,21507.7,58.6
2022-09-04,81233.0,12006.4,2845.696,2.33,2.7,103.5326,21507.7,58.6
2022-09-05,81233.0,12006.4,2845.696,2.33,2.7,103.5326,21507.7,58.6
2022-09-06,81233.0,12006.4,2845.696,2.33,2.7,103.5326,21507.7,58.6
2022-09-07,81233.0,12006.4,2845.696,2.33,2.7,103.5326,21507.7,58.6
2022-09-08,81233.0,12006.4,2845.696,2.33,2.7,103.5326,21507.7,58.6
2022-09-09,81233.0,12006.4,2845.696,2.33,2.7,103.5326,21507.7,58.6
2022-09-10,81233.0,12006.4,2845.696,2.33,2.7,103.5326,21507.7,58.6
2022-09-11,81233.0,12006.4,2845.696,2.33,2.7,103.5326,21507.7,58.6
2022-09-12,81233.0,12006.4,2845.696,2.33,2.7,103.5326,21507.7,58.6
2022-09-13,81233.0,12006.4,2845.696,2.33,2.7,103.5326,21507.7,58.6
2022-09-14,81233.0,12006.4,2845.696,2.33,2.7,103.5326,21507.7,58.6
2022-09-15,81233.0,12006.4,2845.696,2.33,2.7,103.5326,21507.7,58.6
2022-09-16,81233.0,12006.4,2845.696,2.33,2.7,103.5326,21507.7,58.6
2022-09-17,81233.0,12006.4,2845.696,2.33,2.7,103.5326,21507.7,58.6
2022-09-18,81233.0,12006.4,2845.696,2.33,2.7,103.5326,21507.7,58.6
2022-09-19,81233.0,12006.4,2845.696,2.33,2.7,103.5326,21507.7,58.6
2022-09-20,81233.0,12006.4,2845.696,2.33,2.7,103.5326,21507.7,58.6
2022-09-21,81233.0,12006.4,2845.696,2.33,2.7,103.5326,21507.7,58.6
2022-09-22,81233.0,12006.4,2845.696,3.08,2.7,103.5326,21507.7,58.6
2022-09-23,81233.0,12006.4,2845.696,3.08,2.7,103.5326,21507.7,58.6
2022-09-24,81233.0,12006.4,2845.696,3.08,2.7,103.5326,21507.7,58.6
2022-09-25,81233.0,12006.4,2845.696,3.08,2.7,103.5326,21507.7,58.6
2022-09-26,81233.0,12006.4,2845.696,3.08,2.7,103.5326,21507.7,58.6
2022-09-27,81233.0,12006.4,2845.696,3.08,2.7,103.5326,21507.7,58.6
2022-09-28,81233.0,12006.4,2845.696,3.08,2.7,103.5326,21507.7,58.6
2022-09-29,81233.0,12006.4,2845.696,3.08,2.7,103.5326,21507.7,58.6
2022-09-30,81233.0,12006.4,2845.696,3.08,2.7,103.5326,21507.7,58.6
2022-10-01,88213.0,12070.8,2809.855,3.08,3.4,103.4442,21433.4,59.9
2022-10-02,88213.0,12070.8,2809.855,3.08,3.4,103.4442,21433.4,59.9
2022-10-03,88213.0,12070.8,2809.855,3.08,3.4,103.4442,21433.4,59.9
2022-10-04,88213.0,12070.8,2809.855,3.08,3.4,103.4442,21433.4,59.9
2022-10-05,88213.0,12070.8,2809.855,3.08,3.4,103.4442,21433.4,59.9
2022-10-06,88213.0,12070.8,2809.855,3.08,3.4,103.4442,21433.4,59.9
2022-10-07,88213.0,12070.8,2809.855,3.08,3.4,103.4442,21433.4,59.9
2022-10-08,88213.0,12070.8,2809.855,3.08,3.4,103.4442,21433.4,59.9
2022-10-09,88213.0,12070.8,2809.855,3.08,3.4,103.4442,21433.4,59.9
2022-10-10,88213.0,12070.8,2809.855,3.08,3.4,103.4442,21433.4,59.9
2022-10-11,88213.0,12070.8,2809.855,3.08,3.4,103.4442,21433.4,59.9
2022-10-12,88213.0,12070.8,2809.855,3.08,3.4,103.4442,21433.4,59.9
2022-10-13,88213.0,12070.8,2809.855,3.08,3.4,103.4442,21433.4,59.9
2022-10-14,88213.0,12070.8,2809.855,3.08,3.4,103.4442,21433.4,59.9
2022-10-15,88213.0,12070.8,2809.855,3.08,3.4,103.4442,21433.4,59.9
2022-10-16,88213.0,12070.8,2809.855,3.08,3.4,103.4442,21433.4,59.9
