Date,business_investment,software_spending,corporate_earnings,interest_rate,gdp_growth,industrial_production,m2_money_supply,consumer_sentiment
2022-07-14,84180.0,13736.0,3141.557,1.58,2.8,102.5497,21221.2,70.1
2022-07-15,84180.0,13736.0,3141.557,1.58,2.8,102.5497,21221.2,70.1
2022-07-16,84180.0,13736.0,3141.557,1.58,2.8,102.5497,21221.2,70.1
2022-07-17,84180.0,13736.0,3141.557,1.58,2.8,102.5497,21221.2,70.1
2022-07-18,84180.0,13736.0,3141.557,1.58,2.8,102.5497,21221.2,70.1
2022-07-19,84180.0,13736.0,3141.557,1.58,2.8,102.5497,21221.2,70.1
2022-07-20,84180.0,13736.0,3141.557,1.58,2.8,102.5497,21221.2,70.1
2022-07-21,84180.0,13736.0,3141.557,1.58,2.8,102.5497,21221.2,70.1
2022-07-22,84180.0,13736.0,3141.557,1.58,2.8,102.5497,21221.2,70.1
2022-07-23,84180.0,13736.0,3141.557,1.58,2.8,102.5497,21221.2,70.1
2022-07-24,84180.0,13736.0,3141.557,1.58,2.8,102.5497,21221.2,70.1
2022-07-25,84180.0,13736.0,3141.557,1.58,2.8,102.5497,21221.2,70.1
2022-07-26,84180.0,13736.0,3141.557,1.58,2.8,102.5497,21221.2,70.1
2022-07-27,84180.0,13736.0,3141.557,1.58,2.8,102.5497,21221.2,70.1
2022-07-28,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-07-29,84180.0,13736.0,3141.557,2.32,2.8,102.5497,21221.2,70.1
2022-07-30,84180.0,13736.0,3141.557,2.32,2.8,102.5497,21221.2,70.1
2022-07-31,84180.0,13736.0,3141.557,2.32,2.8,102.5497,21221.2,70.1
2022-08-02,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-03,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-04,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-05,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-06,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-07,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-08,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-09,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-10,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-11,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-12,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-13,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-14,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-15,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-16,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-17,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-18,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-19,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
2022-08-20,84180.0,13736.0,3141.557,2.33,2.8,102.5497,21221.2,70.1
