level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,gdp_growth_mom,business_investment_mom,software_spending_mom,corporate_earnings_mom,industrial_production_mom,m2_money_supply_mom,consumer_sentiment_mom,daily_sentiment_score
51,51,2022-05-12,68.17294311523438,-0.004232731374922686,68.39462352987624,70.0736572265625,74.41538111368816,70.15624557314786,0.019788772578595952,34.16178538975329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,52,2022-05-13,68.59703063964844,0.006201491042477286,68.13439327605748,69.85871734619141,74.05433527628581,69.87275194887523,0.01721646374698567,32.88145602044152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
53,53,2022-05-16,67.1898193359375,-0.02072751058368521,68.48138404445478,69.44522628784179,73.66942469278972,69.38494601925018,0.01754213388899589,34.962311669941684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,54,2022-05-17,69.2813720703125,0.030654330693116783,68.24042224310458,69.30932312011718,73.2883061726888,69.3661143921706,0.020910409073826033,41.946294463165984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0
55,55,2022-05-18,65.83080291748047,-0.05108821053026351,65.04044359183709,68.64330520629883,72.82833201090494,68.72333048768148,0.023535823344439204,30.47806087192015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,56,2022-05-19,64.61634826660156,-0.01862041032345758,65.4259865199283,68.08812789916992,72.35411911010742,67.97660644748512,0.022412399052482827,32.9031686979051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,57,2022-05-20,66.14887237548828,0.023440396023391267,66.80427678944925,67.71608276367188,71.9393435160319,67.64429116166751,0.024567553362562795,36.29402756508423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,58,2022-05-23,67.50788879394531,0.020336618133217955,67.15126283687306,67.57150573730469,71.58914566040039,67.61949073117256,0.025660482890076677,41.991095083179786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
59,59,2022-05-24,66.5344009399414,-0.014525340798991159,66.38982883301668,67.23415908813476,71.24440943400064,67.42220167822144,0.025273013698525748,34.05571364446374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,60,2022-05-25,67.30548858642578,0.011522666086386132,67.59463518007135,67.11849670410156,70.93919143676757,67.40098111607678,0.02507804031339502,41.64321028514259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664
61,61,2022-05-26,69.06932830810547,0.025868970895790537,69.74401237516601,67.20813522338867,70.6792734781901,67.70431696917291,0.02650666191046974,47.84862204053964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,62,2022-05-27,70.1488265991211,0.015508321128304572,69.61872884447658,67.36331481933594,70.4649777730306,68.14877326552711,0.02685868560053985,53.186015399152396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,63,2022-05-31,69.31993103027344,-0.011886609482597538,70.38015953905467,67.57632598876953,70.26257019042968,68.36171104093553,0.02615507742134602,48.42216818685499,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,64,2022-06-01,69.0114974975586,-0.004459348784546554,68.89583575857404,67.54933853149414,70.00682957967122,68.47985403304881,0.024342185955102853,51.570225443108036,,,,,,,,,16.666666666666664
65,65,2022-06-02,70.49581909179688,0.021280283281879322,69.9367930440112,68.01584014892578,69.7771120707194,68.84639313463937,0.01734772977134219,56.21456056943128,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.285714285714285
66,66,2022-06-03,69.19463348388672,-0.0186300955917169,70.0042657557908,68.47366867065429,69.53004582722981,68.90970956177524,0.017349309775492407,51.527140080286514,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,67,2022-06-06,70.33197784423828,0.016303263459922137,69.00185722906299,68.8919792175293,69.42595062255859,69.16830379495033,0.016726403032154454,58.14190534292954,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,68,2022-06-07,70.06209564208984,-0.0038446428382648418,69.40668255933458,69.14739990234375,69.28812052408854,69.33081140352115,0.01618379080442682,52.233888674712055,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
69,69,2022-06-08,68.79945373535156,-0.018186124412545045,68.21150420358254,69.37390518188477,69.18755900065104,69.23420091839941,0.016676116227032675,59.70996887176234,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,70,2022-06-09,66.71754455566406,-0.03072784986461855,65.52237397960594,69.31511077880859,69.00956878662109,68.77662703426572,0.019489699323830552,56.503613485939475,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,71,2022-06-10,64.71273803710938,-0.030509894549629046,63.401895947033424,68.87945175170898,68.72041473388671,68.03773812569183,0.01904233890812584,45.681149790593,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.25
72,72,2022-06-13,61.73444366455078,-0.04711604129131043,69.39703877656964,68.03801345825195,68.42001520792643,66.89168458730255,0.021173093658459922,34.178552208643055,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.555555555555555
73,73,2022-06-14,68.16331481933594,0.09906449494223812,67.90306149203924,67.9223518371582,68.31463470458985,67.12289008403589,0.04124664048077152,53.43638048645131,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4482758620689653
74,74,2022-06-15,67.18017578125,-0.014528313499435445,66.02356790066841,67.73921966552734,68.19929377237956,67.13330566534755,0.04144438289820717,49.73798253089254,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.727272727272727
75,75,2022-06-16,66.2259750366211,-0.014305442612339557,66.26452860549722,67.31223526000977,67.99046020507812,66.96833646012456,0.04067824651327727,43.84646781665221,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
76,76,2022-06-17,65.27176666259766,-0.014513178866257566,66.12959402430124,66.91994857788086,67.82724838256836,66.65986922421058,0.04055966822238399,39.38760670564681,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,77,2022-06-21,65.23321533203125,-0.0005908024521140196,64.51032692810405,66.41007232666016,67.67271143595377,66.4004776074507,0.03988120100144731,40.790620170978734,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
78,78,2022-06-22,64.12478637695312,-0.01713780468933726,64.0476723155168,65.81634140014648,67.51174901326497,65.98671556554204,0.03996632080000139,39.37107022606624,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,79,2022-06-23,65.18501281738281,0.016398605613758662,65.85971342552995,65.45489730834962,67.35432052612305,65.84095142951308,0.04056110913006789,38.23152101730264,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,80,2022-06-24,68.14402770996094,0.04439394207349834,66.8621147639478,65.5975456237793,67.34371770222982,66.2596925714127,0.042268891998716945,47.8312554354451,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664
81,81,2022-06-27,67.86451721191406,-0.004110196042532357,68.01872451678535,65.91272354125977,67.3334368387858,66.55147886968567,0.04080383779518594,44.71945335651833,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,82,2022-06-28,66.10066986083984,-0.026334442918220322,66.53440811415892,66.34934616088867,67.25022481282552,66.46951359535007,0.03832219807417446,42.031777620496584,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,83,2022-06-29,66.70790100097656,0.009144520834668839,65.74404924161017,66.20380477905273,67.23416086832682,66.51285676000943,0.02083686764722327,45.6790100106045,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
84,84,2022-06-30,67.34403991699219,0.00949100306775713,67.32476303484984,66.22019119262696,67.16958312988281,66.66398097036993,0.020635924156131698,51.37652142194281,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.75
85,85,2022-07-01,68.30789184570312,0.014210901930182061,67.83560229355957,66.42838287353516,67.25215276082356,66.96287385679415,0.02037063196572589,58.27784601460987,,,,,,,,,0.0
86,86,2022-07-05,69.38739776611328,0.015679955948117462,69.7054639533194,66.83994598388672,67.41118774414062,67.40369638576126,0.019697205229378477,69.30932949567608,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,87,2022-07-06,69.06932830810547,-0.004594504384861368,69.23319244384766,67.22355728149414,67.50853627522787,67.7065385534602,0.019888406234277674,53.30518914110672,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,88,2022-07-07,69.23319244384766,0.002369648962712084,69.09825087691941,67.7343978881836,67.56604639689128,67.98411198807611,0.018290423188763748,57.96567241674309,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
89,89,2022-07-08,69.27174377441406,0.0005566780883709503,68.73924196203254,68.14307098388672,67.65729115804037,68.21822685831937,0.018135325076151062,62.72144585653985,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,90,2022-07-11,69.29109191894531,0.0002792688899615314,69.32014090339054,68.25777740478516,67.72347793579101,68.41329323297863,0.012161671415000986,68.20983194944588,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5
91,91,2022-07-12,68.16803741455078,-0.016340558811756063,66.85134163935277,68.28812942504882,67.69343490600586,68.36870126599175,0.013363092298055651,62.10670891565749,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,92,2022-07-13,67.80013275146484,-0.005411642452844093,66.95783463542315,68.45807571411133,67.61514511108399,68.2653251724414,0.009890979468335802,66.14810121914837,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664
93,93,2022-07-14,67.23859405517578,-0.00831675396076552,68.02281402541463,68.51114501953126,67.54576721191407,68.078646787484,0.010133506792757171,59.43617217446298,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5
94,94,2022-07-15,68.4875259399414,0.018404226648979442,68.98128904821645,68.62549362182617,67.52830149332682,68.15298845156717,0.01130760722918912,51.87267023650972,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
95,95,2022-07-18,67.97440338134766,-0.007520412169398488,68.39071385268686,68.59214477539062,67.44425430297852,68.12051843879998,0.010704716938141871,50.584192607122255,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
